"Player","Club","Position","Type","Team","Bid","Date (EDT)","Gameweek"
"Kieran Tierney","ARS","D","Claim","Ange's XI","","Sun Apr 16, 2023, 8:03AM","31"
"Rico Henry","BRF","D","Drop","Jesus of Razareth","","Sat Apr 15, 2023, 12:16PM","32"
"Aymeric Laporte","MCI","D","Claim","Ange's XI","","Sat Apr 15, 2023, 11:35AM","31"
"Nathan Ake","MCI","D","Drop","Ange's XI","","Sat Apr 15, 2023, 11:35AM","31"
"Kyle Walker","MCI","D","Claim","Martin's Ode to Elli","","Sat Apr 15, 2023, 11:33AM","31"
"Kai Havertz","CHE","F","Drop","Ange's XI","","Sat Apr 15, 2023, 9:13AM","31"
"Bernd Leno","FUL","G","Claim","Jesus of Razareth","","Sat Apr 15, 2023, 9:08AM","31"
"Jason Steele","BHA","G","Drop","Jesus of Razareth","","Sat Apr 15, 2023, 9:08AM","31"
"Callum Wilson","NEW","F","Drop","Kane and the Abels","","Sat Apr 15, 2023, 7:00AM","31"
"Nathan Ake","MCI","D","Claim","Ange's XI","","Fri Apr 14, 2023, 11:44PM","31"
"Ruben Dias","MCI","D","Claim","Ange's XI","","Fri Apr 14, 2023, 11:44PM","31"
"Raphael Varane","MUN","D","Lineup Change","Ange's XI","","Fri Apr 14, 2023, 11:44PM","31"
"John Stones","MCI","D","Claim","Ange's XI","","Fri Apr 14, 2023, 11:43PM","31"
"Ricardo Pereira","LEI","D","Drop","Ange's XI","","Fri Apr 14, 2023, 11:43PM","31"
"Douglas Luiz","AVL","M","Drop","Martin's Ode to Elli","","Thu Apr 13, 2023, 7:04PM","31"
"Marcel Sabitzer","MUN","M","Claim","Martin's Ode to Elli","","Thu Apr 13, 2023, 4:43PM","31"
"Jacob Ramsey","AVL","M","Drop","Martin's Ode to Elli","","Thu Apr 13, 2023, 4:43PM","31"
"Aaron Ramsdale","ARS","G","Claim","Brenden's Boys","","Thu Apr 13, 2023, 12:58PM","31"
"Kepa Arrizabalaga","CHE","G","Drop","Brenden's Boys","","Thu Apr 13, 2023, 12:58PM","31"
"Raphael Varane","MUN","D","Claim","Ange's XI","","Thu Apr 13, 2023, 11:57AM","31"
"Rico Henry","BRF","D","Claim","Jesus of Razareth","0.00","Thu Apr 13, 2023, 10:00AM","31"
"Aaron Wan-Bissaka","MUN","D","Claim","Kane and the Abels","0.00","Thu Apr 13, 2023, 10:00AM","31"
"Callum Wilson","NEW","F","Claim","Kane and the Abels","0.00","Thu Apr 13, 2023, 10:00AM","31"
"Demarai Gray","EVE","M","Claim","Martin's Ode to Elli","0.00","Thu Apr 13, 2023, 10:00AM","31"
"Leon Bailey","AVL","F","Drop","Martin's Ode to Elli","","Thu Apr 13, 2023, 10:00AM","31"
"Granit Xhaka","ARS","M","Claim","Jesus of Razareth","0.00","Thu Apr 13, 2023, 10:00AM","31"
"Dango Ouattara","BOU","F","Drop","Jesus of Razareth","","Tue Apr 11, 2023, 10:01AM","31"
"Felipe","NOT","D","Drop","Ange's XI","","Tue Apr 11, 2023, 10:00AM","31"
"Marc Cucurella","CHE","D","Drop","Jesus of Razareth","","Tue Apr 11, 2023, 9:57AM","31"
"Harvey Barnes","LEI","M","Drop","Kane and the Abels","","Sat Apr 8, 2023, 11:36AM","31"
"Ricardo Pereira","LEI","D","Claim","Ange's XI","","Sat Apr 8, 2023, 9:34AM","30"
"Harry Souttar","LEI","D","Drop","Ange's XI","","Sat Apr 8, 2023, 9:34AM","30"
"Callum Wilson","NEW","F","Drop","Ange's XI","","Sat Apr 8, 2023, 9:15AM","30"
"Leon Bailey","AVL","F","Claim","Martin's Ode to Elli","","Sat Apr 8, 2023, 9:15AM","30"
"Ashley Young","AVL","D","Drop","Martin's Ode to Elli","","Sat Apr 8, 2023, 9:15AM","30"
"Douglas Luiz","AVL","M","Claim","Martin's Ode to Elli","","Sat Apr 8, 2023, 9:11AM","30"
"Kenny Tete","FUL","D","Drop","Martin's Ode to Elli","","Sat Apr 8, 2023, 9:04AM","30"
"Emiliano Martinez","AVL","G","Claim","Martin's Ode to Elli","0.00","Fri Apr 7, 2023, 10:00AM","30"
"David de Gea","MUN","G","Drop","Martin's Ode to Elli","","Fri Apr 7, 2023, 10:00AM","30"
"Kepa Arrizabalaga","CHE","G","Claim","Brenden's Boys","","Fri Apr 7, 2023, 8:47AM","30"
"Neto","BOU","G","Drop","Brenden's Boys","","Fri Apr 7, 2023, 8:47AM","30"
"Tyrell Malacia","MUN","D","Claim","Martin's Ode to Elli","","Fri Apr 7, 2023, 6:32AM","30"
"Declan Rice","WHU","M","Drop","Martin's Ode to Elli","","Fri Apr 7, 2023, 6:32AM","30"
"Jacob Ramsey","AVL","M","Claim","Martin's Ode to Elli","","Thu Apr 6, 2023, 10:32PM","30"
"Said Benrahma","WHU","M","Drop","Martin's Ode to Elli","","Thu Apr 6, 2023, 10:32PM","30"
"Emiliano Martinez","AVL","G","Drop","Kane and the Abels","","Thu Apr 6, 2023, 10:57AM","30"
"Ashley Young","AVL","D","Claim","Martin's Ode to Elli","0.00","Thu Apr 6, 2023, 10:00AM","30"
"Neco Williams","NOT","D","Drop","Martin's Ode to Elli","","Thu Apr 6, 2023, 10:00AM","30"
"Callum Wilson","NEW","F","Claim","Ange's XI","0.00","Thu Apr 6, 2023, 10:00AM","30"
"Emiliano Buendia","AVL","M","Claim","Brenden's Boys","0.00","Thu Apr 6, 2023, 10:00AM","30"
"Rico Henry","BRF","D","Drop","Brenden's Boys","","Thu Apr 6, 2023, 10:00AM","30"
"David de Gea","MUN","G","Claim","Martin's Ode to Elli","0.00","Thu Apr 6, 2023, 10:00AM","30"
"Lukasz Fabianski","WHU","G","Drop","Martin's Ode to Elli","","Thu Apr 6, 2023, 10:00AM","30"
"Allan Saint-Maximin","NEW","M","Claim","Brenden's Boys","1.00","Thu Apr 6, 2023, 10:00AM","30"
"Mathias Jensen","BRF","M","Drop","Brenden's Boys","","Thu Apr 6, 2023, 10:00AM","30"
"Marc Cucurella","CHE","D","Claim","Jesus of Razareth","0.00","Thu Apr 6, 2023, 10:00AM","30"
"Kiernan Dewsbury-Hall","LEI","M","Drop","Ange's XI","","Thu Apr 6, 2023, 9:42AM","30"
"Neco Williams","NOT","D","Claim","Martin's Ode to Elli","","Sat Apr 1, 2023, 9:33AM","29"
"Serge Aurier","NOT","D","Drop","Martin's Ode to Elli","","Sat Apr 1, 2023, 9:33AM","29"
"Christian Norgaard","BRF","M","Drop","Ange's XI","","Sat Apr 1, 2023, 9:13AM","29"
"Emiliano Buendia","AVL","M","Drop","Jesus of Razareth","","Sat Apr 1, 2023, 9:11AM","29"
"Harry Souttar","LEI","D","Claim","Ange's XI","","Sat Apr 1, 2023, 9:09AM","29"
"Timothy Castagne","LEI","D","Claim","Kane and the Abels","","Sat Apr 1, 2023, 9:06AM","29"
"Ricardo Pereira","LEI","D","Drop","Kane and the Abels","","Sat Apr 1, 2023, 9:06AM","29"
"Alisson","LIV","G","Claim","Hand of Aribo","","Sat Apr 1, 2023, 7:12AM","29"
"Kepa Arrizabalaga","CHE","G","Drop","Hand of Aribo","","Sat Apr 1, 2023, 7:12AM","29"
"Brennan Johnson","NOT","F","Drop","Hand of Aribo","","Sat Apr 1, 2023, 7:12AM","29"
