"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros %","+/-"
"*03dx3*","Kieran Trippier","NEW","D","1","Kang","TOT Sun 9:00AM","484.25","16.14","100%","0%"
"*02lol*","Harry Kane","TOT","F","2","#COYS","@NEW Sun 9:00AM","484","15.61","100%","0%"
"*061vq*","Erling Haaland","MCI","F","3","Ange","","474","16.93","100%","-0.1%"
"*04y92*","Bukayo Saka","ARS","M","4","#COYS","SOU 3<br/>@ARS 3 F","462","14.44","100%","0%"
"*02oox*","Kevin De Bruyne","MCI","M","5","ARTKRS","","452","16.14","100%","0%"
"*052h5*","Gabriel Martinelli","ARS","M","6","ARTKRS","SOU 3<br/>@ARS 3 F","438.5","13.7","100%","0%"
"*04e1k*","Solly March","BHA","M","7","RAZZ","","417","14.38","85%","-0.2%"
"*05r9b*","Martin Odegaard","ARS","M","8","ARTKRS","SOU 3<br/>@ARS 3 F","416","13.42","100%","0%"
"*05gcr*","Bruno Fernandes","MUN","M","9","JOE","","402.5","13.88","100%","0%"
"*03v6w*","Ivan Toney","BRF","F","10","JOE","AVL 1<br/>@BRF 1 F","393.5","13.12","100%","0%"
"*03aqp*","Mohamed Salah","LIV","F","11","Kang","NOT 2<br/>@LIV 3 F","391","12.61","100%","0%"
"*05ocl*","Ollie Watkins","AVL","F","12","#COYS","AVL 1<br/>@BRF 1 F","353","11.39","100%","0%"
"*02oq8*","James Ward-Prowse","SOU","M","13","Kang","SOU 3<br/>@ARS 3 F","345.5","10.8","100%","0%"
"*03ybi*","Marcus Rashford","MUN","F","14","RAZZ","","332.5","11.47","100%","+0.1%"
"*05tqx*","David Raya","BRF","G","15","Ange","AVL 1<br/>@BRF 1 F","323","10.09","87%","-0.2%"
"*0414o*","James Maddison","LEI","M","16","RAZZ","WOL 1<br/>@LEI 2 F","318.5","13.27","100%","0%"
"*04qr9*","Morgan Gibbs-White","NOT","M","27","RAZZ","NOT 2<br/>@LIV 3 F","304","9.81","77%","-1.8%"
"*05u94*","Michael Olise","CRY","M","19","Kang","EVE 0<br/>@CRY 0 F","303.5","9.79","97%","+0.5%"
"*03v9d*","Son Heung-Min","TOT","F","17","JOE","@NEW Sun 9:00AM","300.5","10.36","100%","0%"
"*0520r*","Leandro Trossard","ARS","M","18","JOE","SOU 3<br/>@ARS 3 F","299.5","9.98","99%","-0.2%"
"*03srg*","Trent Alexander-Arnold","LIV","D","24","#COYS","NOT 2<br/>@LIV 3 F","298.5","9.95","100%","0%"
"*04fk1*","Pascal Gross","BHA","M","20","RAZZ","","297.5","10.26","99%","-0.3%"
"*05nt6*","Eberechi Eze","CRY","M","23","#COYS","EVE 0<br/>@CRY 0 F","297","9.28","99%","+1%"
"*03jly*","Andreas Pereira","FUL","M","21","Ange","LEE 1<br/>@FUL 2 F","294.5","9.5","90%","+0.9%"
"*04tig*","Fabian Schar","NEW","D","22","RAZZ","TOT Sun 9:00AM","291","10.39","85%","+0.1%"
"*046c5*","Jarrod Bowen","WHU","M","25","Ange","@BOU Sun 9:00AM","289","9.63","100%","+0.2%"
"*038ze*","Alex Iwobi","EVE","M","26","#COYS","EVE 0<br/>@CRY 0 F","287.5","8.98","82%","+0.9%"
"*05trb*","Bryan Mbeumo","BRF","F","35","ARTKRS","AVL 1<br/>@BRF 1 F","283","8.84","95%","+0.8%"
"*0427d*","James Tarkowski","EVE","D","36","Kang","EVE 0<br/>@CRY 0 F","278","8.69","96%","-0.4%"
"*02lm7*","Jack Grealish","MCI","M","28","Ange","","276","11.5","100%","0%"
"*045c8*","Gabriel Jesus","ARS","F","29","RAZZ","SOU 3<br/>@ARS 3 F","274.5","13.72","100%","0%"
"*03dx7*","Ben Mee","BRF","D","37","JOE","AVL 1<br/>@BRF 1 F","273.25","8.81","84%","-0.6%"
"*05tr9*","Mathias Jensen","BRF","M","31","W (Tue)","AVL 1<br/>@BRF 1 F","272.5","8.52","79%","-0.2%"
"*04spq*","Jack Harrison","LEE","M","30","Ange","LEE 1<br/>@FUL 2 F","269.5","8.98","98%","+0.3%"
"*0524k*","Rodri","MCI","M","32","#COYS","","266.5","9.19","99%","-0.4%"
"*062ci*","Kaoru Mitoma","BHA","M","33","RAZZ","","266","11.08","81%","-0.3%"
"*04abb*","Phil Foden","MCI","M","34","#COYS","","265","11.04","99%","-0.2%"
"*04spp*","Douglas Luiz","AVL","M","40","W (Tue)","AVL 1<br/>@BRF 1 F","264","8.52","76%","+2.8%"
"*0522h*","Alexis Mac Allister","BHA","M","38","Kang","","262","10.08","92%","-0.1%"
"*04sjt*","Alisson","LIV","G","39","JOE","NOT 2<br/>@LIV 3 F","261","8.42","99%","+0.2%"
"*04qor*","Bernd Leno","FUL","G","42","RAZZ","LEE 1<br/>@FUL 2 F","254","8.76","71%","+5.9%"
"*02lz0*","Emiliano Martinez","AVL","G","43","ARTKRS","AVL 1<br/>@BRF 1 F","252.5","8.42","84%","+6.8%"
"*0554i*","Joelinton","NEW","M","41","RAZZ","TOT Sun 9:00AM","252","9.69","98%","-0.3%"
"*061x2*","Darwin Nunez","LIV","F","44","Ange","NOT 2<br/>@LIV 3 F","251","10.04","100%","0%"
"*04yo6*","Miguel Almiron","NEW","M","45","ARTKRS","TOT Sun 9:00AM","246","9.46","83%","+5%"
"*044ei*","Nick Pope","NEW","G","46","#COYS","TOT Sun 9:00AM","245.5","8.18","98%","-0.1%"
"*05o6h*","Kai Havertz","CHE","F","47","W (Tue)","","245","8.45","96%","-1.7%"
"*03scr*","Aleksandar Mitrovic","FUL","F","48","W (Tue)","LEE 1<br/>@FUL 2 F","243","11.57","79%","-2.2%"
